FoldablePackagePolicy,2024090401,,
30059,Y29tLmlmbHl0ZWsuZWxwbW9iaWxlLnNtYXJ0bGVhcm5pbmc=,fullScreen
30060,Y29tLmludHNpZy5CaXpDYXJkUmVhZGVy,fullScreen
30061,Y29tLmppZmVuLnF1a2Fu,fullScreen
30062,Y29tLm1vc29pbmsudGVhY2g=,fullScreen
30063,Y29tLnJlbnJlbmNoZS5jYXJhcHA=,fullScreen
30064,Y29tLmR1b2thbi5waG9uZS5yZW1vdGVjb250cm9sbGVy,fullScreen
30065,Y29tLnRlbmNlbnQubXhkbA==,fullScreen
30066,Y29tLm1mcC5qZWxseS5zYW1zdW5n,fullScreen
30067,Y29tLnhlcy5qYXpoYW5naHVpLmFjdGl2aXR5,fullScreen
30068,Y29tLmppbmdjYWkuYXBwcy5xdWFsaXR5ZGV2,fullScreen
30069,Y29tLmNhbWVyYXNpZGVhcy5pbnN0YXNob3Q=,fullScreen
30070,Y29tLm5ldGVhc2UucGVz,fullScreen
30071,Y29tLnRlbGVjb20udmlkZW8=,fullScreen
30072,Y29tLnNlZXdvLmVhc2ljYXJlLnBybw==,fullScreen
30073,Y29tLm9waG9uZS5yZWFkZXIudWk=,fullScreen
30074,Y29tLmVhLnNpbWNpdHltb2JpbGUuc2Ftc3VuZw==,fullScreen
30075,Y29tLmJsaW5rLmFjYWRlbXkubm9tbw==,fullScreen
30076,Y29tLnpoZW5haS5hbmRyb2lk,fullScreen
30077,Y29tLnN1cGVyY2VsbC5jbGFzaHJveWFsZS51Yw==,fullScreen
30078,Y29tLmhvbmdlbi5hcHAud29yZA==,fullScreen
30079,Y29tLnlheWEubW1iYW5n,fullScreen
30080,Y29tLm11YnUuYXBw,fullScreen
30081,Y29tLmtpZHN3YW50LnNz,fullScreen
30082,Y29tLnNob3VqaWR1b2R1by5kag==,fullScreen
30083,Y29tLnN1cGVyY2VsbC5ib29tYmVhY2gudWM=,fullScreen
30084,Y29tLmppYW5rZWNvbS5qaWFua2VtYWxs,fullScreen
30085,Y29tLmx1LmFzaGlvbndlYXRoZXI=,fullScreen
30086,Y29tLmhhcHB5dGVhbS5kdWJiaW5nc2hvdw==,fullScreen
30087,Y29tLm5pbmV4aXUuc2l4bmluZXhpdQ==,fullScreen
30088,Y29tLnRlbmNlbnQubHljcTI=,fullScreen
30089,Y29tLmNvcnAyMWNuLm1haWwxODk=,fullScreen
30090,Y29tLnRlbmNlbnQuZmlmYW1vYmlsZQ==,fullScreen
30091,Y29tLnN1aXJ1aS56aHVtdQ==,fullScreen
30092,Y29tLnhpYW9iYW5sb25nLm1haW4=,fullScreen
30093,Y24uZWVvLmNsYXNzaW4=,fullScreen
30094,Y29tLnRlbmNlbnQudG1ncC5iaDM=,fullScreen
30095,Y29tLmxlZG91Lm1oankuc2Ftc3VuZw==,fullScreen
30096,Y29tLmJva2VjYy5kYW5jZQ==,fullScreen
30097,Y24ueGRmLndveHVlLnN0dWRlbnQ=,fullScreen
30098,aW8ubW9yZWxlc3MudGlkZQ==,fullScreen
30099,Y29tLmYxMDAuYW5kcm9pZA==,fullScreen
30100,Y29tLnN1bmluZy5tb2JpbGUuZXBh,fullScreen
30101,Y29tLnFpaG9vLmRy,fullScreen
30102,Y29tLnJ0Lm1hcmtldC5mcmVzaA==,fullScreen
30103,Y29tLmx1LmFzaGlvbndlYXRoZXJiYW5uZXI=,fullScreen
30104,Y29tLnBsYW4ua290MzIudG9tYXRvdGltZQ==,fullScreen
30105,Y29tLnNzLmFuZHJvaWQudWdjLmxpdmVsaXRl,fullScreen
30106,Y29tLmh1YXdlaS5oZWFsdGg=,fullScreen
30107,Y29tLmRyY3VpeXV0YW8uYmFieWhlYWx0aA==,fullScreen
30108,Y29tLmh1YXdlaS5oZWFsdGg=,fullScreen
30109,Y29tLmRyY3VpeXV0YW8uYmFieWhlYWx0aA==,fullScreen
30110,Y29tLmhhb2RmLmFuZHJvaWQ=,fullScreen
30111,Y29tLmNoaW5hbXdvcmxkLm1haW4=,fullScreen
30112,Y29tLmhhcHB5ZWxlbWVudHMuQW5kcm9pZEFuaW1hbA==,fullScreen
30113,Y29tLmhhcHB5ZWxlbWVudHMuQW5kcm9pZEFuaW1hbC5xcQ==,fullScreen
30114,Y29tLnRlbmNlbnQubW9iaWxlcXE=,fullScreen
30115,Y29tLmJlbnF1Lnd1dGE=,fullScreen
30116,Y29tLmxpYW5qaWEuYmVpa2U=,fullScreen
40001,Y29tLmxpbmVjb3JwLmI2MTIuYW5kcm9pZA==,flexModeApp,flip
40002,Y29tLnNub3djb3JwLnNvZGEuYW5kcm9pZA==,flexModeApp,flip
40003,Y29tLmNhbXBtb2JpbGUuc25vdw==,flexModeApp,flip
40004,Y29tLmdvb2dsZS5hbmRyb2lkLmFwcHMudGFjaHlvbg==,flexModeApp
40005,Y29tLnNrdC5wcm9kLnRvZ2V0aGVy,flexModeApp
40006,Y29tLmZyb2dyYW1zLndwbGF5,flexModeApp,fold
40007,a3IuY28uY2FwdHYucG9vcVYy,flexModeApp
40008,Y29tLmdvb2dsZS5hbmRyb2lkLnlvdXR1YmU=,flexModeApp
40009,Y29tLm5lb3dpei5hbmRyb2lkLmJ1Z3M=,flexModeApp
40010,Y29tLmt0bXVzaWMuZ2VuaWVtdXNpYw==,flexModeApp
40011,Y29tLmpvZXdhcmUuYW5kcm9pZC5ncHVsdW1lcmE=,flexModeApp
40012,Y29tLnNhbXN1bmcuYW5kcm9pZC50dnBsdXM=,flexModeApp
40013,Y29tLnNlYy5hbmRyb2lkLmdhbGxlcnkzZA==,flexModeApp
40014,Y29tLnNlYy5hbmRyb2lkLmFwcC5jbG9ja3BhY2thZ2U=,flexModeApp,fold
40015,Y29tLnNhbXN1bmcuYW5kcm9pZC5jYWxlbmRhcg==,flexModeApp
40016,Y29tLnNlYy5hbmRyb2lkLmFwcC5wb3B1cGNhbGN1bGF0b3I=,flexModeApp,fold
40017,Y29tLnNlYy5hbmRyb2lkLmFwcC5jYW1lcmE=,flexModeApp
40018,Y29tLnNhbXN1bmcuYW5kcm9pZC52aWRlbw==,flexModeApp
40019,Y29tLnNlYy5hbmRyb2lkLmFwcC5zYnJvd3Nlcg==,flexModeApp
40020,Y29tLnNlYy5hbmRyb2lkLmFwcC5zYnJvd3Nlci5iZXRh,flexModeApp
40021,Y29tLnNhbXN1bmcuYW5kcm9pZC5pbmNhbGx1aQ==,flexModeApp
40022,Y29tLnNhbXN1bmcuYW5kcm9pZC5hcHAuc3BhZ2U=,flexModeApp
40023,Y29tLnNlYy5hbmRyb2lkLmFwcC5zaGVhbHRo,flexModeApp,fold
40024,Y29tLnNhbXN1bmcuYW5kcm9pZC5hcmVtb2pp,flexModeApp
40025,Y29tLnNhbXN1bmcuYW5kcm9pZC5saXZlc3RpY2tlcnM=,flexModeApp
40026,Y29tLnNhbXN1bmcuYW5kcm9pZC5hcmRyYXdpbmc=,flexModeApp
40027,Y29tLnNhbXN1bmcuYW5kcm9pZC5kaWFsZXI=,flexModeApp,fold
40028,Y29tLmR1b3dhbi5raXdp,flexModeApp
40029,YWlyLnR2LmRvdXl1LmFuZHJvaWQ=,flexModeApp
40030,Y29tLnFpeWkudmlkZW8=,flexModeApp,fold
40031,Y29tLmt0Lm90dg==,flexModeApp,flip
40032,Y29tLmJhbnF1LnNhbXN1bmcubXVzaWM=,flexModeApp
40034,Y24ud3BzLm1vZmZpY2VfZW5n,flexModeApp,fold
40035,c2twbGFuZXQubXVzaWNtYXRl,flexModeApp
40036,dXMuem9vbS52aWRlb21lZXRpbmdz,flexModeApp
40037,Y29tLnNrdC5wcm9kLmRpYWxlcg==,flexModeApp,flip
40038,Y29tLmt0LnN0cmVhbWdhbWU=,flexModeApp,fold
40039,Y29tLnVwbHVzLm9ucGhvbmU=,flexModeApp
40040,Y29tLmRpc25leS5kaXNuZXlwbHVz,flexModeApp,fold
40041,Y29tLmNhbXBtb2JpbGUuc25vd2NhbWVyYQ==,flexModeApp,flip
40042,Y29tLnRlbmNlbnQud2RxeQ==,flexModeApp,fold
40043,Y29tLmp1cGhvb24uanVzdGFsaw==,flexModeApp,flip
40044,Y29tLm1pY3Jvc29mdC50ZWFtcw==,flexModeApp,fold
40045,Y29tLnFpeWkudmlkZW8ucGFk,flexModeApp,fold
40046,Y29tLmlsb2VuLm1lbG9u,flexModeApp
40047,Y29tLmNvb2xhcGsubWFya2V0,flexModeApp,fold
40048,Y29tLmp1cGhvb24uanVzdGFsaw==,flexModeApp,fold
40049,Y29tLnNlYy5hbmRyb2lkLm1pbWFnZS5waG90b3JldG91Y2hpbmc=,flexModeApp
40050,Y29tLnNlYy5hbmRyb2lkLmFwcC52ZXByZWxvYWQ=,flexModeApp
40051,Y29tLnRlbmNlbnQubW9iaWxlcXE=,flexModeApp,fold
40052,Y29tLmxlMTIzLnlzZHE=,flexModeApp,fold
40053,Y29tLnNhbXN1bmcuYW5kcm9pZC5hcHAuZ2FsYXh5cmF3,flexModeApp,fold
40054,Y29tLmh1bmFudHYuaW1nby5zYW1zdW5n,flexModeApp,fold
40055,Y29tLm5ldGZsaXgubWVkaWFjbGllbnQ=,flexModeApp,fold
40056,Y29tLmFsaWJhYmEuYW5kcm9pZC5yaW1ldA==,flexModeApp,fold
40057,Y29tLnh1bmxlaS5kb3dubG9hZHByb3ZpZGVy,flexModeApp,fold
40058,Y29tLndoYXRzYXBw,flexModeApp
40059,b3JnLnZpZGVvbGFuLnZsYw==,flexModeApp
40060,Y29tLmJhaWR1Lmhhb2thbg==,flexModeApp,fold
40061,Y29tLmJlbnF1Lnd1dGE=,flexModeApp,flip
40062,Y29tLnlvdWt1LnBob25l,flexModeApp,fold
40063,Y29tLmluc3RhZ3JhbS5hbmRyb2lk,flexModeApp,flip
40064,Y29tLmZhY2Vib29rLm9yY2E=,flexModeApp
40065,Y29tLmZhY2Vib29rLmthdGFuYQ==,flexModeApp
40066,Y29tLmNpc2NvLndlYmV4Lm1lZXRpbmdz,flexModeApp
40067,Y24ueHVleGkuYW5kcm9pZA==,flexModeApp,fold
40068,Y29tLnNrdC5udWd1LmFwb2xsbw==,flexModeApp,flip
40069,Y29tLm9uZXN0b3JlLm9uZXN0b3J5,flexModeApp,fold
40070,Y29tLnNrdC5za2FmLk9BMDAwNTAwMTc=,flexModeApp,fold
40071,Y29tLmNvZmZlZS5sb3ZlX2NvZmZlZQ==,flexModeApp
40072,Y29tLm1heGluY29tZS5mbWNybQ==,flexModeApp
40073,Y29tLmh1bmFudHYuaW1nby5hY3Rpdml0eQ==,flexModeApp,fold
40074,Y29tLnNvaHUubmV3c2NsaWVudA==,flexModeApp,fold
40075,Y29tLnRlbmNlbnQucXFsaXZl,flexModeApp,fold
40076,Y29tLnh5aGouaGFuanU=,flexModeApp,fold
40077,Y29tLnNzLmFuZHJvaWQubGFyaw==,flexModeApp,fold
40078,Y29tLnNvaHUuc29odXZpZGVv,flexModeApp,fold
50001,Y29tLmh1bHUucGx1cw==,ignoreAppRotation
50002,Y29tLnViZXJjYWI=,ignoreAppRotation
50003,Y29tLnp6a2tv,ignoreAppRotation
50004,b3JnLnp3YW5vby5hbmRyb2lkLnNwZWVkdGVzdA==,ignoreAppRotation
50005,Y29tLmZpdGJpdC5GaXRiaXRNb2JpbGU=,ignoreAppRotation
50006,Y29tLmJsb2NrY2hhaW52YXVsdA==,ignoreAppRotation
50007,Y29tLnNob3BpZnkuYXJyaXZl,ignoreAppRotation
50008,Y29tLmdyYWJ0YXhpLnBhc3Nlbmdlcg==,ignoreAppRotation
50009,Y29tLmJpdHN0cmlwcy5pbW9qaQ==,ignoreAppRotation
50010,Y29tLmtlYmhhbmEuaGFuYXB1c2g=,ignoreAppRotation
50011,Z3NzaG9wLm1vYmlsZS52Mg==,ignoreAppRotation
50012,a3IuYmFja3BhY2tyLm1lLmlkdXM=,ignoreAppRotation
50013,Y29tLmN1bHRzb3RyeS55YW5vbGphLm5hdGl2ZWFwcA==,ignoreAppRotation
50014,Y29tLmNyb3F1aXMuemlnemFn,ignoreAppRotation
50015,Y29tLmV2ZXJ5dGltZS52Mg==,ignoreAppRotation
50016,bmguc21hcnQubmhjb2s=,ignoreAppRotation
50017,Y29tLnN0YXJidWNrcy5jbw==,ignoreAppRotation
50018,Y29tLmhtYWxsYXBw,ignoreAppRotation
50019,a3IuY28uc3Nn,ignoreAppRotation
50020,Y29tLm5leG9uLm54cGxheQ==,ignoreAppRotation
50021,Y28uc3Bvb25tZQ==,ignoreAppRotation
50022,Y29tLmtzY2Muc2N4Yi5tYmw=,ignoreAppRotation
50023,Y29tLmlzY3JlYW1tZWRpYS5hcHAuaGljbGFzcy5hbmRyb2lk,ignoreAppRotation
50024,Y29tLmNndi5hbmRyb2lkLm1vdmllYXBw,ignoreAppRotation
50025,Y29tLnNhbXN1bmcuZmFtaWx5bmV0bWFsbA==,ignoreAppRotation
50026,Y29tLm1vbnB1Yi5uYW11d2lraQ==,ignoreAppRotation
50027,Y29tLmdvbGZ6b24uYW5kcm9pZC5HRFI=,ignoreAppRotation
50028,Y29tLmtvcmVhbmFpci5wYXNzZW5nZXI=,ignoreAppRotation
50029,Y29tLnJvYm9yb2NrLnNtYXJ0,ignoreAppRotation
50030,Y29tLmhjb20uYW5kcm9pZA==,ignoreAppRotation
50031,Y29tLm1vb25hY3RpdmUuY29pbm1hc3Rlcg==,ignoreAppRotation
50032,Y29tLmFjdGl2aXNpb24uY2FsbG9mZHV0eS5zaG9vdGVy,ignoreAppRotation
50033,Y29tLm5lb3dpei5nYW1lcy5uZXdtYXRnbw==,ignoreAppRotation
50034,Y29tLnRpbmRlcg==,ignoreAppRotation
50035,Y29tLmdyaW5kcmFwcC5hbmRyb2lk,ignoreAppRotation
50036,Y29tLmJhZG9vLm1vYmlsZQ==,ignoreAppRotation
50037,Y29tLmRyZWFtZ2FtZXMucm95YWxtYXRjaA==,ignoreAppRotation
50038,Y29tLnBpY3NhcnQuc3R1ZGlv,ignoreAppRotation
50039,Y29tLmJpbmFuY2UuZGV2,ignoreAppRotation
50040,Y29tLnBpeGVsLmFydC5jb2xvcmluZy5jb2xvci5udW1iZXI=,ignoreAppRotation
50041,Y29tLnRvcGdhbWVzaW5jLmV2b255,ignoreAppRotation
50042,cHV6emxlLmJsb2NrcHV6emxlLmN1YmUucmVsYXg=,ignoreAppRotation
50043,Y29tLnBlb3BsZWZ1bi53b3JkY3Jvc3M=,ignoreAppRotation
50044,Y29tLmltby5hbmRyb2lkLmltb2lt,ignoreAppRotation
50045,bmV0LnBlYWtnYW1lcy50b29uYmxhc3Q=,ignoreAppRotation
50046,Y29tLmVsZXgudHdkc2F3Lmdw,ignoreAppRotation
50047,Y29tLmdtYS53YXRlci5zb3J0LnB1enpsZQ==,ignoreAppRotation
50048,Y29tLm9zLmFpcmZvcmNl,ignoreAppRotation
50049,Y29tLmhpZ2dzLnRpbGVtYXN0ZXIzZA==,ignoreAppRotation
50050,bmV0LnBlYWtnYW1lcy5hbXk=,ignoreAppRotation
50051,Y29tLmZ1bnRvbWljLm1hdGNobWFzdGVycw==,ignoreAppRotation
50052,Y29tLmNvdXBhbmcubW9iaWxlLmVhdHM=,ignoreAppRotation
50053,Y29tLnN0cmF2YQ==,ignoreAppRotation
50054,Y29tLm91dGZpdDcubXl0YWxraW5ndG9tMg==,ignoreAppRotation
50055,Y29tLm5mbHlzdHVkaW8uSW5maW5pdGVTdGFpcmNhc2U=,ignoreAppRotation
50056,Y29tLmhtLmdvZQ==,ignoreAppRotation
50057,dGlsZS5tYXN0ZXIuY29ubmVjdC5tYXRjaGluZy5nYW1l,ignoreAppRotation
50058,Y29tLnN0YXJtYWtlcmludGVyYWN0aXZlLnN0YXJtYWtlcg==,ignoreAppRotation
50059,ZnJlZXBsYXkuY3Jvd2RydW4uY29t,ignoreAppRotation
50060,Y29tLmNhbmR5d3JpdGVyLmJpdGxpZmU=,ignoreAppRotation
50061,Y29tLmFsaWVuLnNob290ZXIuZ2FsYXh5LmF0dGFjaw==,ignoreAppRotation
50062,Y29tLnRmZ2NvLmdhbWVzLnNwb3J0cy5mcmVlLnRlbm5pcy5jbGFzaA==,ignoreAppRotation
50063,Y29tLmV1cm9wb3NpdC5waXhlbGNvbG9yaW5n,ignoreAppRotation
50064,Y29tLm91dGZpdDcubXl0YWxraW5nYW5nZWxhMg==,ignoreAppRotation
50065,Y29tLnNwb3J0cy5yZWFsLmdvbGYucml2YWwub25saW5l,ignoreAppRotation
50066,Y28uaGluZ2UuYXBw,ignoreAppRotation
50067,Y29tLmhhYmJ5LmFyY2hlcm8=,ignoreAppRotation
50068,ZnJlZS50dWJlLnByZW1pdW0uYWR2YW5jZWQudHViZXI=,ignoreAppRotation
50069,aW0udGhlYm90Lm1lc3Nlbmdlcg==,ignoreAppRotation
50070,bmV0LnplZGdlLmFuZHJvaWQ=,ignoreAppRotation
50071,Y29tLmdsb2JhbC56dG1zbGc=,ignoreAppRotation
50072,Y29tLm1hdHRlbDE2My5waGFzZTEw,ignoreAppRotation
50073,Y29tLnN3bS5saXZl,ignoreAppRotation
50074,Y29tLmxpbmVjb3JwLmI2MTIuYW5kcm9pZA==,ignoreAppRotation
50075,Y29tLmJyaWNrc2JyZWFrZXIuYmFsbHMuY3J1c2hlci5icmlja3M=,ignoreAppRotation
50076,c2luZXQuc3RhcnR1cC5pbkRyaXZlcg==,ignoreAppRotation
50077,Y29tLmplbGx5YnRuLmJvYXJka2luZ3M=,ignoreAppRotation
50078,Y29tLmx1bWJlci5pbmM=,ignoreAppRotation
50079,Y29tLlVwcGVycGlrLkhhaXJDaGFsbGVuZ2U=,ignoreAppRotation
50080,Y29tLnp5bmdhLnBvdHRlcm1hdGNo,ignoreAppRotation
50081,Y29tLnNtdWxlLnNpbmdhbmRyb2lk,ignoreAppRotation
50082,YXBwLnplbmx5LmxvY2F0b3I=,ignoreAppRotation
50083,dmlkZW8ubGlrZQ==,ignoreAppRotation
50084,Y29tLmdhcm1pbi5hbmRyb2lkLmFwcHMuY29ubmVjdG1vYmlsZQ==,ignoreAppRotation
50085,Y29tLmdvb2dsZS5hbmRyb2lkLmFwcHMueW91dHViZS5jcmVhdG9y,ignoreAppRotation
50086,Y29tLmNvaW5iYXNlLmFuZHJvaWQ=,ignoreAppRotation
50087,aW8uc3RhdGUuZmlnaHQ=,ignoreAppRotation
50088,Y29tLmVhLmdhbWUuc2ltY2l0eW1vYmlsZV9yb3c=,ignoreAppRotation
50089,Y29tLnp5bmdhLndvcmRzMw==,ignoreAppRotation
50090,Y29tLmNyb3dkc3Rhci5jb3ZldEhvbWU=,ignoreAppRotation
50091,Y29tLm15bnRyYS5hbmRyb2lk,ignoreAppRotation
50092,Y29tLnlvdW11c2ljLm1hZ2ljdGlsZXM=,ignoreAppRotation
50093,Y28ubW9uYS5hbmRyb2lk,ignoreAppRotation
50094,Y29tLm1vb25mcm9nLmx1ZG8uY2x1Yg==,ignoreAppRotation
50095,bWUubHlmdC5hbmRyb2lk,ignoreAppRotation
50096,dmlkZW8ucmVmYWNlLmFwcA==,ignoreAppRotation
50097,Y29tLmZsdWZmeWZhaXJ5Z2FtZXMuaWRsZW1pbmVydHljb29u,ignoreAppRotation
50098,Y29tLnN0YXJidWNrcy5tb2JpbGVjYXJk,ignoreAppRotation
50099,Y29tLmF1eGJyYWluLmVnZ2luYw==,ignoreAppRotation
50100,Y29tLnN0YXIudW5pb24ucGxhbmV0YW50,ignoreAppRotation
50101,ZmkucmV3b3Jrcy5yZWRlY29y,ignoreAppRotation
50102,Y29tLm91dGZpdDcudGFsa2luZ3RvbWdvbGRydW4=,ignoreAppRotation
50103,Y29tLmFkZGljdGl2ZS5zdHJhdGVneS5hcm15,ignoreAppRotation
50104,Y29tLmdhbWUuc3BhY2Uuc2hvb3RlcjI=,ignoreAppRotation
50105,Y29tLmV4cGVkaWEuYm9va2luZ3M=,ignoreAppRotation
50106,Y29tLm1pbmljbGlwLmZvb3RiYWxsc3RyaWtl,ignoreAppRotation
50107,Y29tLnlvdHRhZ2FtZXMuZ2FtZW9mbWFmaWE=,ignoreAppRotation
50108,Y29tLmR5d3gubGFya3BsYXllcg==,ignoreAppRotation
50109,Y29tLmJhbmRhaW5hbWNvZW50LmRibGVnZW5kc193dw==,ignoreAppRotation
50110,Y29tLm1hcnMuYXZnY2hhcHRlcnM=,ignoreAppRotation
50111,Y29tLkdhcmF3ZWxsLkJyaWRnZVJhY2U=,ignoreAppRotation
50112,Y29tLm5pa2Uub21lZ2E=,ignoreAppRotation
50113,Y29tLnJlZGNlbGwuZ29sZGFuZGdvYmxpbnM=,ignoreAppRotation
50114,Y29tLm91dGZpdDcuaGVyb2Rhc2g=,ignoreAppRotation
50115,Y29tLnppbmcuemFsbw==,ignoreAppRotation
50116,Y29tLm15LmRlZmVuc2U=,ignoreAppRotation
50117,Y29tLmlnZy5hbmRyb2lkLmRyZXNzdXB0aW1lcHJpbmNlc3M=,ignoreAppRotation
50118,Y29tLmNhbWVyYXNpZGVhcy50cmltbWVy,ignoreAppRotation
50119,Y29tLmRvcm90aGVlYnJvbmRlcy5ib3VuY2VhbmRjb2xsZWN0,ignoreAppRotation
50120,Y29tLnN1cGVyYm94LmFvcy5maXJlMjA0OA==,ignoreAppRotation
50121,Y29tLmRyZWFtZS5yZWFkZXI=,ignoreAppRotation
50122,aW8uZmFjZWFwcA==,ignoreAppRotation
50123,Y29tLmZ0d19hbmRfY28uaGFwcG4=,ignoreAppRotation
50124,Y29tLmF6dXJlLmF1dGhlbnRpY2F0b3I=,ignoreAppRotation
50125,Y29tLnBsYXlkZW1pYy5nb2xmLmFuZHJvaWQ=,ignoreAppRotation
50126,Y29tLmxvb3AubWF0Y2h0aWxlM2Q=,ignoreAppRotation
50127,Y29tLm1lcmNhcmlhcHAubWVyY2FyaQ==,ignoreAppRotation
50128,Y29tLkxpZ2h0bmVlci5CYXpvb2thQm95,ignoreAppRotation
50129,Y29tLnByb25ldGlzLmlyb25iYWxsMg==,ignoreAppRotation
50130,bXVzaWNwbGF5ZXIubXVzaWNhcHBzLm11c2ljLm1wM3BsYXllcg==,ignoreAppRotation
50131,Y29tLmh1YXdlaS5oZWFsdGg=,ignoreAppRotation
50132,Y29tLkZpZGdldFRyYWRpbmczRC5nYW1l,ignoreAppRotation
50133,aW4uc3dpZ2d5LmFuZHJvaWQ=,ignoreAppRotation
50134,Y29tLm91dGZpdDcubXl0YWxraW5nYW5nZWxhZnJlZQ==,ignoreAppRotation
50135,c29ydC53YXRlci5wdXp6bGUucG91ci5jb2xvci50dWJlcy5zb3J0aW5nLmdhbWU=,ignoreAppRotation
50136,Y29tLmF6YXJsaXZlLmFuZHJvaWQ=,ignoreAppRotation
50137,Y29tLmNvdXBhbmcubW9iaWxlLmVhdHMuY291cmllcg==,ignoreAppRotation
50138,Y29tLnBlcmNlbnQucm95YWxkaWNl,ignoreAppRotation
50139,Z2FtZXMub25lYnV0dG9uLmdvbGZiYXR0bGU=,ignoreAppRotation
50140,Y29tLm9zLmZhbGNvbi5mbmYuYmF0dGxlLmZyaWRheS5uaWdodC5mdW5raW4=,ignoreAppRotation
50141,Y29tLmdsb3Zv,ignoreAppRotation
50142,c3Vkb2t1LnB1enpsZS5mcmVlLmdhbWUuYnJhaW4=,ignoreAppRotation
50143,Y29tLkZvbGxvd0NpcmNsZXMuVHJhZGluZ01hc3Rlcg==,ignoreAppRotation
50144,ZnIuZ291di5hbmRyb2lkLnN0b3Bjb3ZpZA==,ignoreAppRotation
50145,Y29tLmltbWVkaWFzZW1pLmFuZHJvaWQuYmxpbms=,ignoreAppRotation
50146,Y29tLmFtYW5vdGVzLmJlYXRob3BwZXI=,ignoreAppRotation
50147,Y29tLmZhbmF0ZWUuY29keQ==,ignoreAppRotation
50148,Y29tLnRyYW56bWF0ZQ==,ignoreAppRotation
50149,Y29tLnRldHJveC5ib3ds,ignoreAppRotation
50150,Y29tLnNtYWxsZ2lhbnRnYW1lcy5lbXBpcmVz,ignoreAppRotation
50151,Y29tLnNjb3BlbHkueXV4,ignoreAppRotation
50152,Y29tLnRhbGFiYXQ=,ignoreAppRotation
50153,Y29tLmtpbmcuY3Jhc2g=,ignoreAppRotation
50154,Y29tLmdtYS53YXRlci5jb25uZWN0LnB1enpsZQ==,ignoreAppRotation
50155,Y29tLmJ0Y2tvcmVhLmJpdGh1bWI=,ignoreAppRotation
50156,Y29tLnZpbmNlbnRiLk1vYkNvbnRyb2w=,ignoreAppRotation
50157,Y29tLmpvb20=,ignoreAppRotation
50158,Y29tLmFwcGxlLm1vdmV0b2lvcw==,ignoreAppRotation
50159,Y29tLnJvb3QuY2xlYW4uYm9vc3QuZXhwbG9yZXIuZmlsZW1hbmFnZXI=,ignoreAppRotation
50160,Y29tLnNrb3V0LmFuZHJvaWQ=,ignoreAppRotation
50161,Y29tLmdhbWViaWxpdHkub25ldA==,ignoreAppRotation
50162,Y29tLnJvbGxpYy50YW5nbGVtYXN0ZXIzRA==,ignoreAppRotation
50163,Y29tLnRwbGluay5pb3Q=,ignoreAppRotation
50164,Z3JpdC5zdG9yeXRlbC5hcHA=,ignoreAppRotation
50165,Y29tLmNsZWFudGVhbS5vbmVzZWN1cml0eQ==,ignoreAppRotation
50166,Y29tLmltZ3VyLm1vYmlsZQ==,ignoreAppRotation
50167,Y29tLmV6dml6,ignoreAppRotation
50168,Y29tLnBpY2FkaWxsYS5iZWVwYmVlcHZyb29t,ignoreAppRotation
50169,Z2FtZXMubm9oby5ndW5nYW5n,ignoreAppRotation
50170,ZXMuc29jaWFscG9pbnQud29yZGxpZmU=,ignoreAppRotation
50171,Y29tLnBsYXlnZW5kYXJ5LnRvbQ==,ignoreAppRotation
50172,Y29tLnZyYm8uYW5kcm9pZA==,ignoreAppRotation
50173,Y29tLmNhdHdhbGsuZmFzaGlvbi5zdGFy,ignoreAppRotation
50174,Y29tLmx1ZGlhLmp3Mg==,ignoreAppRotation
50175,Y29tLmNhbWVsZ2FtZXMuYW96,ignoreAppRotation
50176,cGhvdG8uZWRpdG9yLnBob3RvZWRpdG9yLnBob3RvZWRpdG9ycHJv,ignoreAppRotation
50177,Y29sb3JpbmcuY29sb3IubnVtYmVyLmhhcHB5LnBhaW50LmFydC5kcmF3aW5nLnB1enpsZQ==,ignoreAppRotation
50178,Y29tLmludGVyZm9jdXNsbGMucGF0cGF0,ignoreAppRotation
50179,Y29tLnB1enpsZTFzdHVkaW8uZ28uYnViYmxlcG9wb3JpZ2lucHV6emxlZ2FtZQ==,ignoreAppRotation
50180,Y29tLmNoaWNrZmlsYS5jZmFmbGFnc2hpcA==,ignoreAppRotation
50181,Y29tLmpveWNpdHkuZ3c=,ignoreAppRotation
50182,Y29tLmt0Yi5jdXN0b21lci5xcg==,ignoreAppRotation
50183,Y29tLm1pbmQucXVpei5icmFpbi5vdXQ=,ignoreAppRotation
50184,c2EuZ292Lm5pYy50YXdha2thbG5h,ignoreAppRotation
50185,Y29tLmFkaWRhcy5hcHA=,ignoreAppRotation
50186,Y29tLnF1b3JhLmFuZHJvaWQ=,ignoreAppRotation
50187,Y29tLmxlYW4uc2VoaGF0eQ==,ignoreAppRotation
50188,Z29nb2xvb2suY2FsbGdvZ29sb29rMg==,ignoreAppRotation
50189,Y29tLm1hcm9pZXFyd2xrLnVucGlu,ignoreAppRotation
50190,Y29tLmxzemVubGFtenIucGFya2luZ2phbQ==,ignoreAppRotation
50191,Y29tLm1vYmlyaXguc3dpcGVicmljazI=,ignoreAppRotation
50192,Y29tLmFub3RoZXJwbGFjZXByb2R1Y3Rpb25zLmZhdDJmaXQ=,ignoreAppRotation
50193,Y29tLmdsb2JhbC56dG1zbGdrcg==,ignoreAppRotation
